reference_type,reference_input,matched_track_id,reference_description
youtube,https://youtube.com/watch?v=dQw4w9WgXcQ,CEZ_CEZ_4639_00201,"80s pop hit with synth and drums"
youtube,https://youtube.com/watch?v=kJQP7kiw5Fk,OCHO_OCHO_0006_01401,"Latin groove with brass"
youtube,https://youtube.com/watch?v=JGwWNGJdvx8,AXS_AXS_2581_02801,"80s pop ballad"
youtube,https://youtube.com/watch?v=fJ9rUzIMcZQ,RYL_RYL_0052_00501,"Motivational pop with vocals"
youtube,https://youtube.com/watch?v=9bZkp7q19f0,KOS_KOS_0182_12501,"High energy dance"
youtube,https://youtube.com/watch?v=hTWKbfoikeg,MYMA_JUST_0216_03401,"Summer electro pop"
youtube,https://youtube.com/watch?v=OPf0YbXqDm0,LQC_INSD_0088_00901,"Upbeat rock anthem"
youtube,https://youtube.com/watch?v=YQHsXMglC9A,ADTK_ADTK_0184_03201,"Synth-driven 80s style"
spotify,https://open.spotify.com/track/4cOdK2wGLETKBW3PvgPWqT,VOY_VOY_0060_00502,"Swagger rock"
spotify,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,NFL_NFL_0036_01901,"Emotional orchestral"
spotify,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,JCM_JM_0183_02501,"Tropical feel-good"
spotify,https://open.spotify.com/track/6rqhFgbbKwnb9MLmUQDhG6,HARD_HARD_0009_01201,"Pop dance vocal"
spotify,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,IFM_IFM_0303_00701,"Dark urban hip-hop"
spotify,https://open.spotify.com/track/60nZcImufyMA1MKQY3dcCH,KAPT_KAPT_0029_09001,"Tension suspense"
spotify,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0,BRU_BTV_0221_05001,"Hopeful orchestral"
spotify,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv,JMP_JMP_0109_06601,"Uplifting feel-good"
tiktok,https://tiktok.com/@user/video/7123456789,JCM_JM_0218_18701,"Vibrant summer pop sting"
tiktok,https://tiktok.com/@user/video/7234567890,SON_SCDV_0817_03101,"EDM synth phrase"
tiktok,https://tiktok.com/@user/video/7345678901,KPM_KPM_2005_16101,"Quick comedy sting"
tiktok,https://tiktok.com/@user/video/7456789012,SATV_SATVCD_0153_00101,"Sass and attitude"
tiktok,https://tiktok.com/@user/video/7567890123,VOY_VOY_0009_06201,"Playful acoustic pop"
file_upload,client_reference_track.wav,KPM_KPM_2117_01101,"Dark ominous tension"
file_upload,temp_brief_audio.mp3,PMY_PMY_0080_00301,"Reflective hopeful piano"
file_upload,director_temp_music.aiff,2FM_2FM_0052_03201,"Motivational sports promo"
file_upload,agency_reference.wav,CEZ_CEZ_4639_00201,"80s neon vibe"
file_upload,client_loves_this.mp3,JMP_JMP_0101_05501,"Warm inspiring piano"
aktrack,NFL_NFL_0036_01901,NFL_NFL_0036_01901,"Direct APM track reference"
aktrack,VOY_VOY_0060_00502,VOY_VOY_0060_00502,"Direct APM track reference"
aktrack,ADTK_ADTK_0184_03201,ADTK_ADTK_0184_03201,"Direct APM track reference"
aktrack,JCM_JM_0183_02501,JCM_JM_0183_02501,"Direct APM track reference"
aktrack,LQC_LQC_0037_00501,LQC_LQC_0037_00501,"Direct APM track reference"
